# Distance(Å)  Score
9.860  6.820
9.960  6.795
10.059  6.771
10.158  6.747
10.258  6.723
10.357  6.699
10.457  6.676
10.556  6.653
10.656  6.631
10.755  6.609
10.854  6.587
10.954  6.566
11.053  6.545
11.153  6.525
11.252  6.504
11.352  6.484
11.451  6.465
11.550  6.446
11.650  6.427
11.749  6.409
11.849  6.390
11.948  6.373
12.048  6.355
12.147  6.338
12.246  6.321
12.346  6.305
12.445  6.289
12.545  6.273
12.644  6.257
12.744  6.242
12.843  6.227
12.943  6.213
13.042  6.198
13.141  6.185
13.241  6.171
13.340  6.157
13.440  6.144
13.539  6.132
13.639  6.119
13.738  6.107
13.837  6.095
13.937  6.083
14.036  6.072
14.136  6.061
14.235  6.050
14.335  6.039
14.434  6.029
14.533  6.019
14.633  6.009
14.732  5.999
14.832  5.990
14.931  5.981
15.031  5.972
15.130  5.963
15.229  5.955
15.329  5.946
15.428  5.938
15.528  5.931
15.627  5.923
15.727  5.916
15.826  5.908
15.926  5.901
16.025  5.895
16.124  5.888
16.224  5.881
16.323  5.875
16.423  5.869
16.522  5.863
16.622  5.857
16.721  5.852
16.820  5.846
16.920  5.841
17.019  5.836
17.119  5.831
17.218  5.826
17.318  5.821
17.417  5.817
17.516  5.812
17.616  5.808
17.715  5.804
17.815  5.800
17.914  5.796
18.014  5.792
18.113  5.788
18.212  5.785
18.312  5.781
18.411  5.778
18.511  5.774
18.610  5.771
18.710  5.768
18.809  5.765
18.909  5.762
19.008  5.759
19.107  5.756
19.207  5.753
19.306  5.751
19.406  5.748
19.505  5.745
19.605  5.743
19.704  5.741
19.803  5.738
19.903  5.736
20.002  5.734
20.102  5.731
20.201  5.729
20.301  5.727
20.400  5.725
20.499  5.723
20.599  5.721
20.698  5.719
20.798  5.717
20.897  5.715
20.997  5.713
21.096  5.712
21.195  5.710
21.295  5.708
21.394  5.706
21.494  5.705
21.593  5.703
21.693  5.701
21.792  5.700
21.892  5.698
21.991  5.697
22.090  5.695
22.190  5.694
22.289  5.692
22.389  5.691
22.488  5.689
22.588  5.688
22.687  5.687
22.786  5.685
22.886  5.684
22.985  5.683
23.085  5.681
23.184  5.680
23.284  5.679
23.383  5.678
23.482  5.677
23.582  5.676
23.681  5.675
23.781  5.673
23.880  5.672
23.980  5.672
24.079  5.671
24.178  5.670
24.278  5.669
24.377  5.668
24.477  5.667
24.576  5.666
24.676  5.666
24.775  5.665
24.875  5.664
24.974  5.664
25.073  5.663
25.173  5.663
25.272  5.662
25.372  5.662
25.471  5.661
25.571  5.661
25.670  5.661
25.769  5.661
25.869  5.661
25.968  5.661
26.068  5.661
26.167  5.661
26.267  5.661
26.366  5.661
26.465  5.661
26.565  5.661
26.664  5.662
26.764  5.662
26.863  5.663
26.963  5.663
27.062  5.664
27.161  5.665
27.261  5.666
27.360  5.667
27.460  5.668
27.559  5.669
27.659  5.670
27.758  5.671
27.858  5.672
27.957  5.674
28.056  5.675
28.156  5.677
28.255  5.679
28.355  5.680
28.454  5.682
28.554  5.684
28.653  5.686
28.752  5.689
28.852  5.691
28.951  5.693
29.051  5.696
29.150  5.698
29.250  5.701
29.349  5.704
29.448  5.706
29.548  5.709
29.647  5.712
29.747  5.716
29.846  5.719
29.946  5.722
30.045  5.726
30.144  5.729
30.244  5.733
30.343  5.737
30.443  5.741
30.542  5.744
30.642  5.749
30.741  5.753
30.841  5.757
30.940  5.761
31.039  5.766
31.139  5.770
31.238  5.775
31.338  5.780
31.437  5.785
31.537  5.790
31.636  5.795
31.735  5.800
31.835  5.805
31.934  5.811
32.034  5.816
32.133  5.822
32.233  5.827
32.332  5.833
32.431  5.839
32.531  5.845
32.630  5.851
32.730  5.857
32.829  5.863
32.929  5.869
33.028  5.875
33.127  5.882
33.227  5.888
33.326  5.895
33.426  5.902
33.525  5.908
33.625  5.915
33.724  5.922
33.824  5.929
33.923  5.936
34.022  5.943
34.122  5.950
34.221  5.958
34.321  5.965
34.420  5.972
34.520  5.980
34.619  5.987
34.718  5.995
34.818  6.003
34.917  6.010
35.017  6.018
35.116  6.026
35.216  6.034
35.315  6.042
35.414  6.050
35.514  6.058
35.613  6.066
35.713  6.074
35.812  6.082
35.912  6.090
36.011  6.099
36.110  6.107
36.210  6.115
36.309  6.124
36.409  6.132
36.508  6.141
36.608  6.149
36.707  6.158
36.807  6.166
36.906  6.175
37.005  6.184
37.105  6.192
37.204  6.201
37.304  6.210
37.403  6.218
37.503  6.227
37.602  6.236
37.701  6.245
37.801  6.254
37.900  6.263
38.000  6.272
38.099  6.280
38.199  6.289
38.298  6.298
38.397  6.307
38.497  6.316
38.596  6.325
38.696  6.334
38.795  6.343
38.895  6.352
38.994  6.361
39.093  6.370
39.193  6.379
