# Distance(Å)  Score
6.518  7.639
6.622  7.602
6.727  7.567
6.831  7.531
6.935  7.496
7.039  7.461
7.144  7.427
7.248  7.393
7.352  7.359
7.456  7.326
7.561  7.293
7.665  7.261
7.769  7.228
7.873  7.196
7.978  7.165
8.082  7.134
8.186  7.103
8.290  7.072
8.395  7.042
8.499  7.013
8.603  6.983
8.707  6.954
8.812  6.926
8.916  6.897
9.020  6.869
9.125  6.842
9.229  6.815
9.333  6.788
9.437  6.761
9.542  6.735
9.646  6.709
9.750  6.684
9.854  6.659
9.959  6.634
10.063  6.609
10.167  6.585
10.271  6.562
10.376  6.538
10.480  6.515
10.584  6.493
10.688  6.470
10.793  6.448
10.897  6.427
11.001  6.405
11.105  6.384
11.210  6.364
11.314  6.343
11.418  6.324
11.523  6.304
11.627  6.285
11.731  6.266
11.835  6.247
11.940  6.229
12.044  6.211
12.148  6.193
12.252  6.175
12.357  6.158
12.461  6.142
12.565  6.125
12.669  6.109
12.774  6.093
12.878  6.078
12.982  6.062
13.086  6.047
13.191  6.033
13.295  6.018
13.399  6.004
13.503  5.990
13.608  5.977
13.712  5.963
13.816  5.950
13.920  5.938
14.025  5.925
14.129  5.913
14.233  5.901
14.338  5.889
14.442  5.878
14.546  5.866
14.650  5.855
14.755  5.845
14.859  5.834
14.963  5.824
15.067  5.814
15.172  5.804
15.276  5.794
15.380  5.785
15.484  5.776
15.589  5.767
15.693  5.758
15.797  5.749
15.901  5.741
16.006  5.733
16.110  5.725
16.214  5.717
16.318  5.709
16.423  5.702
16.527  5.695
16.631  5.687
16.736  5.681
16.840  5.674
16.944  5.667
17.048  5.661
17.153  5.654
17.257  5.648
17.361  5.642
17.465  5.636
17.570  5.630
17.674  5.625
17.778  5.619
17.882  5.614
17.987  5.609
18.091  5.603
18.195  5.598
18.299  5.594
18.404  5.589
18.508  5.584
18.612  5.580
18.716  5.575
18.821  5.571
18.925  5.567
19.029  5.563
19.133  5.559
19.238  5.555
19.342  5.551
19.446  5.547
19.551  5.544
19.655  5.540
19.759  5.537
19.863  5.533
19.968  5.530
20.072  5.527
20.176  5.524
20.280  5.521
20.385  5.519
20.489  5.516
20.593  5.513
20.697  5.511
20.802  5.508
20.906  5.506
21.010  5.504
21.114  5.502
21.219  5.500
21.323  5.498
21.427  5.497
21.531  5.495
21.636  5.494
21.740  5.492
21.844  5.491
21.949  5.490
22.053  5.489
22.157  5.489
22.261  5.488
22.366  5.487
22.470  5.487
22.574  5.487
22.678  5.487
22.783  5.487
22.887  5.487
22.991  5.488
23.095  5.488
23.200  5.489
23.304  5.490
23.408  5.491
23.512  5.492
23.617  5.493
23.721  5.495
23.825  5.496
23.929  5.498
24.034  5.500
24.138  5.502
24.242  5.505
24.347  5.507
24.451  5.510
24.555  5.513
24.659  5.516
24.764  5.519
24.868  5.523
24.972  5.526
25.076  5.530
25.181  5.534
25.285  5.538
25.389  5.543
25.493  5.547
25.598  5.552
25.702  5.557
25.806  5.562
25.910  5.567
26.015  5.572
26.119  5.578
26.223  5.583
26.327  5.589
26.432  5.595
26.536  5.601
26.640  5.608
26.744  5.614
26.849  5.621
26.953  5.628
27.057  5.635
27.162  5.642
27.266  5.649
27.370  5.657
27.474  5.664
27.579  5.672
27.683  5.679
27.787  5.687
27.891  5.695
27.996  5.703
28.100  5.712
28.204  5.720
28.308  5.729
28.413  5.737
28.517  5.746
28.621  5.754
28.725  5.763
28.830  5.772
28.934  5.781
29.038  5.790
29.142  5.799
29.247  5.808
29.351  5.818
29.455  5.827
29.560  5.836
29.664  5.845
29.768  5.855
29.872  5.864
29.977  5.874
30.081  5.883
30.185  5.893
30.289  5.902
30.394  5.911
30.498  5.921
30.602  5.930
30.706  5.940
30.811  5.949
30.915  5.959
31.019  5.968
31.123  5.978
31.228  5.987
31.332  5.997
31.436  6.006
31.540  6.015
31.645  6.025
31.749  6.034
31.853  6.043
31.957  6.053
32.062  6.062
32.166  6.071
32.270  6.080
32.375  6.089
32.479  6.098
32.583  6.107
32.687  6.117
32.792  6.126
32.896  6.135
33.000  6.144
33.104  6.152
33.209  6.161
33.313  6.170
33.417  6.179
33.521  6.188
33.626  6.197
33.730  6.206
33.834  6.214
33.938  6.223
34.043  6.232
34.147  6.241
34.251  6.249
34.355  6.258
34.460  6.267
34.564  6.276
34.668  6.284
34.773  6.293
34.877  6.302
34.981  6.310
35.085  6.319
35.190  6.328
35.294  6.336
35.398  6.345
35.502  6.354
35.607  6.362
35.711  6.371
35.815  6.380
35.919  6.388
36.024  6.397
36.128  6.405
36.232  6.414
36.336  6.422
36.441  6.431
36.545  6.439
36.649  6.448
36.753  6.456
36.858  6.464
36.962  6.473
37.066  6.481
37.171  6.489
37.275  6.497
37.379  6.505
37.483  6.513
37.588  6.520
37.692  6.528
37.796  6.535
37.900  6.543
38.005  6.550
38.109  6.557
38.213  6.564
38.317  6.571
38.422  6.577
38.526  6.584
38.630  6.590
38.734  6.596
38.839  6.602
38.943  6.608
39.047  6.613
39.151  6.618
39.256  6.623
39.360  6.628
39.464  6.633
39.568  6.637
39.673  6.641
39.777  6.645
39.881  6.649
39.986  6.652
40.090  6.656
40.194  6.659
40.298  6.662
40.403  6.664
40.507  6.666
40.611  6.669
40.715  6.671
40.820  6.672
40.924  6.674
41.028  6.675
41.132  6.676
41.237  6.677
41.341  6.678
41.445  6.679
41.549  6.679
41.654  6.680
41.758  6.680
41.862  6.680
