# Distance(Å)  Score
10.985  6.508
11.072  6.494
11.160  6.480
11.248  6.466
11.336  6.453
11.424  6.440
11.511  6.427
11.599  6.414
11.687  6.402
11.775  6.389
11.863  6.377
11.951  6.365
12.038  6.353
12.126  6.341
12.214  6.329
12.302  6.318
12.390  6.307
12.477  6.296
12.565  6.285
12.653  6.274
12.741  6.263
12.829  6.253
12.917  6.242
13.004  6.232
13.092  6.222
13.180  6.212
13.268  6.202
13.356  6.193
13.443  6.183
13.531  6.174
13.619  6.165
13.707  6.156
13.795  6.147
13.883  6.138
13.970  6.129
14.058  6.121
14.146  6.112
14.234  6.104
14.322  6.096
14.409  6.088
14.497  6.080
14.585  6.072
14.673  6.064
14.761  6.057
14.849  6.049
14.936  6.042
15.024  6.035
15.112  6.027
15.200  6.020
15.288  6.013
15.375  6.007
15.463  6.000
15.551  5.993
15.639  5.986
15.727  5.980
15.815  5.974
15.902  5.967
15.990  5.961
16.078  5.955
16.166  5.949
16.254  5.943
16.341  5.937
16.429  5.931
16.517  5.925
16.605  5.920
16.693  5.914
16.781  5.909
16.868  5.903
16.956  5.898
17.044  5.892
17.132  5.887
17.220  5.882
17.307  5.877
17.395  5.872
17.483  5.867
17.571  5.862
17.659  5.857
17.747  5.853
17.834  5.848
17.922  5.843
18.010  5.839
18.098  5.834
18.186  5.830
18.273  5.825
18.361  5.821
18.449  5.817
18.537  5.813
18.625  5.809
18.712  5.805
18.800  5.801
18.888  5.797
18.976  5.793
19.064  5.789
19.152  5.785
19.239  5.782
19.327  5.778
19.415  5.774
19.503  5.771
19.591  5.767
19.678  5.764
19.766  5.761
19.854  5.757
19.942  5.754
20.030  5.751
20.118  5.748
20.205  5.745
20.293  5.742
20.381  5.739
20.469  5.737
20.557  5.734
20.644  5.731
20.732  5.729
20.820  5.726
20.908  5.724
20.996  5.721
21.084  5.719
21.171  5.717
21.259  5.715
21.347  5.713
21.435  5.711
21.523  5.709
21.610  5.707
21.698  5.705
21.786  5.703
21.874  5.702
21.962  5.700
22.050  5.699
22.137  5.698
22.225  5.696
22.313  5.695
22.401  5.694
22.489  5.693
22.576  5.692
22.664  5.691
22.752  5.691
22.840  5.690
22.928  5.689
23.016  5.689
23.103  5.689
23.191  5.688
23.279  5.688
23.367  5.688
23.455  5.688
23.542  5.688
23.630  5.689
23.718  5.689
23.806  5.689
23.894  5.690
23.982  5.691
24.069  5.691
24.157  5.692
24.245  5.693
24.333  5.694
24.421  5.695
24.508  5.696
24.596  5.698
24.684  5.699
24.772  5.701
24.860  5.702
