# Distance(Å)  Score
9.534  6.642
9.635  6.616
9.735  6.590
9.836  6.565
9.937  6.540
10.038  6.515
10.139  6.491
10.240  6.468
10.341  6.444
10.442  6.421
10.543  6.399
10.643  6.377
10.744  6.355
10.845  6.334
10.946  6.313
11.047  6.292
11.148  6.272
11.249  6.252
11.350  6.233
11.450  6.214
11.551  6.196
11.652  6.177
11.753  6.160
11.854  6.142
11.955  6.125
12.056  6.109
12.157  6.092
12.257  6.076
12.358  6.061
12.459  6.046
12.560  6.031
12.661  6.016
12.762  6.002
12.863  5.988
12.964  5.975
13.064  5.962
13.165  5.949
13.266  5.937
13.367  5.925
13.468  5.913
13.569  5.902
13.670  5.891
13.771  5.880
13.871  5.870
13.972  5.860
14.073  5.850
14.174  5.841
14.275  5.832
14.376  5.823
14.477  5.814
14.578  5.806
14.678  5.798
14.779  5.791
14.880  5.783
14.981  5.776
15.082  5.770
15.183  5.763
15.284  5.757
15.385  5.751
15.485  5.746
15.586  5.740
15.687  5.735
15.788  5.730
15.889  5.726
15.990  5.721
16.091  5.717
16.192  5.713
16.292  5.710
16.393  5.706
16.494  5.703
16.595  5.700
16.696  5.698
16.797  5.695
16.898  5.693
16.999  5.691
17.099  5.689
17.200  5.687
17.301  5.686
17.402  5.684
17.503  5.683
17.604  5.682
17.705  5.681
17.806  5.681
17.906  5.680
18.007  5.680
18.108  5.680
18.209  5.680
18.310  5.680
18.411  5.681
18.512  5.681
18.613  5.682
18.713  5.683
18.814  5.684
18.915  5.685
19.016  5.686
19.117  5.687
19.218  5.689
19.319  5.690
19.420  5.692
19.520  5.694
19.621  5.696
19.722  5.698
19.823  5.700
19.924  5.702
20.025  5.705
20.126  5.707
20.227  5.710
20.327  5.712
20.428  5.715
20.529  5.718
20.630  5.721
20.731  5.724
20.832  5.727
20.933  5.730
21.034  5.734
21.134  5.737
21.235  5.741
21.336  5.744
21.437  5.748
21.538  5.751
21.639  5.755
21.740  5.759
21.841  5.763
21.941  5.767
22.042  5.771
22.143  5.775
22.244  5.779
22.345  5.784
22.446  5.788
22.547  5.792
22.648  5.797
22.748  5.801
22.849  5.806
22.950  5.810
23.051  5.815
23.152  5.819
23.253  5.824
23.354  5.829
23.455  5.834
23.555  5.839
23.656  5.843
23.757  5.848
23.858  5.853
23.959  5.858
24.060  5.863
24.161  5.868
24.262  5.873
24.362  5.878
24.463  5.883
24.564  5.888
24.665  5.893
24.766  5.898
24.867  5.903
24.968  5.907
25.069  5.912
25.169  5.917
25.270  5.922
25.371  5.927
25.472  5.931
25.573  5.936
25.674  5.941
25.775  5.945
25.876  5.950
25.976  5.954
26.077  5.959
26.178  5.963
26.279  5.967
26.380  5.971
26.481  5.975
26.582  5.979
26.683  5.983
26.783  5.987
26.884  5.990
26.985  5.994
27.086  5.997
27.187  6.000
27.288  6.004
27.389  6.007
27.490  6.009
27.590  6.012
27.691  6.015
27.792  6.017
27.893  6.019
27.994  6.022
28.095  6.023
28.196  6.025
28.297  6.027
28.398  6.028
28.498  6.030
28.599  6.031
28.700  6.032
28.801  6.033
28.902  6.034
29.003  6.034
29.104  6.035
29.205  6.035
29.305  6.035
29.406  6.035
29.507  6.035
29.608  6.035
29.709  6.034
29.810  6.034
29.911  6.033
30.012  6.032
30.112  6.031
30.213  6.030
30.314  6.029
30.415  6.027
30.516  6.026
30.617  6.024
30.718  6.023
30.819  6.021
30.919  6.019
31.020  6.018
31.121  6.016
31.222  6.014
31.323  6.012
31.424  6.010
31.525  6.007
31.626  6.005
31.726  6.003
31.827  6.001
31.928  5.999
32.029  5.996
32.130  5.994
32.231  5.992
32.332  5.990
32.433  5.987
32.533  5.985
32.634  5.983
32.735  5.981
32.836  5.979
32.937  5.977
33.038  5.975
33.139  5.973
33.240  5.971
33.340  5.970
33.441  5.968
33.542  5.966
33.643  5.965
33.744  5.963
33.845  5.962
33.946  5.961
34.047  5.960
34.147  5.959
34.248  5.958
34.349  5.957
34.450  5.957
34.551  5.956
34.652  5.956
34.753  5.956
34.854  5.956
34.954  5.956
35.055  5.956
35.156  5.956
35.257  5.957
35.358  5.958
35.459  5.958
35.560  5.960
35.661  5.961
35.761  5.962
35.862  5.964
35.963  5.965
36.064  5.967
36.165  5.969
36.266  5.972
36.367  5.974
36.468  5.977
36.568  5.980
36.669  5.983
36.770  5.986
36.871  5.989
36.972  5.993
37.073  5.996
37.174  6.000
37.275  6.004
37.375  6.009
37.476  6.013
37.577  6.018
37.678  6.022
37.779  6.027
37.880  6.033
37.981  6.038
38.082  6.044
38.182  6.049
38.283  6.055
38.384  6.061
38.485  6.067
38.586  6.074
38.687  6.080
38.788  6.087
38.889  6.094
38.989  6.101
39.090  6.108
39.191  6.115
39.292  6.123
39.393  6.130
39.494  6.138
39.595  6.146
39.696  6.154
39.796  6.162
39.897  6.170
39.998  6.178
40.099  6.186
40.200  6.195
40.301  6.204
40.402  6.212
40.503  6.221
40.603  6.230
40.704  6.239
40.805  6.248
40.906  6.257
41.007  6.266
41.108  6.275
41.209  6.284
41.310  6.294
41.410  6.303
41.511  6.312
41.612  6.321
41.713  6.331
41.814  6.340
41.915  6.349
42.016  6.359
42.117  6.368
42.217  6.377
42.318  6.387
42.419  6.396
42.520  6.405
42.621  6.414
42.722  6.423
42.823  6.432
42.924  6.441
43.024  6.450
43.125  6.459
43.226  6.468
43.327  6.477
43.428  6.485
43.529  6.494
43.630  6.502
43.731  6.511
43.831  6.519
43.932  6.527
44.033  6.536
44.134  6.544
44.235  6.551
44.336  6.559
44.437  6.567
44.538  6.575
44.638  6.582
44.739  6.590
44.840  6.597
44.941  6.604
45.042  6.611
45.143  6.618
45.244  6.625
45.345  6.632
45.446  6.639
45.546  6.646
45.647  6.653
45.748  6.659
45.849  6.666
45.950  6.672
46.051  6.678
46.152  6.685
46.253  6.691
46.353  6.697
46.454  6.703
46.555  6.710
46.656  6.716
46.757  6.722
46.858  6.728
46.959  6.734
47.060  6.740
47.160  6.746
47.261  6.752
47.362  6.758
47.463  6.764
47.564  6.770
47.665  6.777
47.766  6.783
47.867  6.789
