# Distance(Å)  Score
9.258  7.037
9.362  7.004
9.466  6.972
9.569  6.940
9.673  6.909
9.777  6.878
9.881  6.848
9.985  6.819
10.089  6.789
10.192  6.760
10.296  6.732
10.400  6.704
10.504  6.677
10.608  6.650
10.711  6.623
10.815  6.597
10.919  6.571
11.023  6.546
11.127  6.521
11.230  6.496
11.334  6.472
11.438  6.449
11.542  6.425
11.646  6.402
11.750  6.380
11.853  6.358
11.957  6.336
12.061  6.315
12.165  6.294
12.269  6.273
12.372  6.253
12.476  6.233
12.580  6.213
12.684  6.194
12.788  6.175
12.892  6.157
12.995  6.139
13.099  6.121
13.203  6.104
13.307  6.086
13.411  6.070
13.514  6.053
13.618  6.037
13.722  6.021
13.826  6.006
13.930  5.990
14.034  5.975
14.137  5.961
14.241  5.946
14.345  5.932
14.449  5.919
14.553  5.905
14.656  5.892
14.760  5.879
14.864  5.866
14.968  5.854
15.072  5.842
15.175  5.830
15.279  5.819
15.383  5.807
15.487  5.796
15.591  5.785
15.695  5.775
15.798  5.765
15.902  5.755
16.006  5.745
16.110  5.735
16.214  5.726
16.317  5.717
16.421  5.708
16.525  5.699
16.629  5.691
16.733  5.683
16.837  5.675
16.940  5.667
17.044  5.659
17.148  5.652
17.252  5.645
17.356  5.638
17.459  5.631
17.563  5.624
17.667  5.618
17.771  5.612
17.875  5.606
17.978  5.600
18.082  5.594
18.186  5.589
18.290  5.583
18.394  5.578
18.498  5.573
18.601  5.568
18.705  5.563
18.809  5.559
18.913  5.554
19.017  5.550
19.120  5.546
19.224  5.542
19.328  5.538
19.432  5.534
19.536  5.530
19.640  5.527
19.743  5.523
19.847  5.520
19.951  5.517
20.055  5.514
20.159  5.510
20.262  5.508
20.366  5.505
20.470  5.502
20.574  5.499
20.678  5.497
20.782  5.494
20.885  5.492
20.989  5.490
21.093  5.487
21.197  5.485
21.301  5.483
21.404  5.481
21.508  5.480
21.612  5.478
21.716  5.476
21.820  5.475
21.923  5.473
22.027  5.472
22.131  5.470
22.235  5.469
22.339  5.468
22.443  5.467
22.546  5.466
22.650  5.465
22.754  5.464
22.858  5.464
22.962  5.463
23.065  5.463
23.169  5.462
23.273  5.462
23.377  5.462
23.481  5.462
23.585  5.462
23.688  5.462
23.792  5.463
23.896  5.463
24.000  5.464
24.104  5.465
24.207  5.466
24.311  5.467
24.415  5.468
24.519  5.470
24.623  5.471
24.727  5.473
24.830  5.475
24.934  5.477
25.038  5.479
25.142  5.481
25.246  5.484
25.349  5.487
25.453  5.490
25.557  5.493
25.661  5.496
25.765  5.500
25.868  5.504
25.972  5.508
26.076  5.512
26.180  5.516
26.284  5.521
26.388  5.526
26.491  5.531
26.595  5.536
26.699  5.541
26.803  5.547
26.907  5.553
27.010  5.559
27.114  5.565
27.218  5.572
27.322  5.579
27.426  5.586
27.530  5.593
27.633  5.600
27.737  5.608
27.841  5.616
27.945  5.624
28.049  5.632
28.152  5.641
28.256  5.650
28.360  5.659
28.464  5.668
28.568  5.677
28.672  5.687
28.775  5.697
28.879  5.706
28.983  5.717
29.087  5.727
29.191  5.737
29.294  5.748
29.398  5.759
29.502  5.769
29.606  5.780
29.710  5.792
29.813  5.803
29.917  5.814
30.021  5.826
30.125  5.837
30.229  5.849
30.333  5.861
30.436  5.872
30.540  5.884
30.644  5.896
30.748  5.908
30.852  5.920
30.955  5.932
31.059  5.943
31.163  5.955
31.267  5.967
31.371  5.979
31.475  5.990
31.578  6.002
31.682  6.013
31.786  6.024
31.890  6.036
31.994  6.047
32.097  6.058
32.201  6.068
32.305  6.079
32.409  6.089
32.513  6.099
32.617  6.109
32.720  6.119
32.824  6.129
32.928  6.138
33.032  6.147
33.136  6.156
33.239  6.164
33.343  6.173
33.447  6.181
33.551  6.188
33.655  6.196
33.758  6.203
33.862  6.210
33.966  6.217
34.070  6.223
34.174  6.229
34.278  6.235
34.381  6.241
34.485  6.246
34.589  6.251
34.693  6.256
34.797  6.261
34.900  6.265
35.004  6.269
35.108  6.273
35.212  6.277
35.316  6.281
35.420  6.284
35.523  6.287
35.627  6.290
35.731  6.293
35.835  6.296
35.939  6.299
36.042  6.302
36.146  6.304
36.250  6.307
36.354  6.309
36.458  6.311
36.562  6.314
36.665  6.316
36.769  6.318
36.873  6.320
36.977  6.322
37.081  6.325
37.184  6.327
37.288  6.329
37.392  6.332
37.496  6.334
37.600  6.336
37.703  6.339
37.807  6.341
37.911  6.344
38.015  6.347
38.119  6.349
38.223  6.352
38.326  6.355
38.430  6.358
38.534  6.361
38.638  6.365
38.742  6.368
38.845  6.372
38.949  6.375
39.053  6.379
39.157  6.383
39.261  6.387
39.365  6.391
39.468  6.395
39.572  6.399
39.676  6.404
39.780  6.408
39.884  6.413
39.987  6.418
40.091  6.423
40.195  6.428
40.299  6.433
40.403  6.438
40.507  6.443
40.610  6.449
40.714  6.454
40.818  6.460
40.922  6.466
41.026  6.472
41.129  6.477
41.233  6.483
41.337  6.490
41.441  6.496
41.545  6.502
41.648  6.508
41.752  6.515
41.856  6.521
41.960  6.528
42.064  6.535
42.168  6.541
42.271  6.548
42.375  6.555
42.479  6.562
42.583  6.569
42.687  6.576
42.790  6.583
42.894  6.590
42.998  6.597
43.102  6.605
43.206  6.612
43.310  6.619
43.413  6.627
43.517  6.634
43.621  6.642
43.725  6.649
43.829  6.657
43.932  6.664
44.036  6.672
44.140  6.680
44.244  6.688
44.348  6.695
44.451  6.703
44.555  6.711
44.659  6.719
44.763  6.727
44.867  6.735
44.971  6.743
45.074  6.751
45.178  6.759
45.282  6.768
45.386  6.776
45.490  6.784
45.593  6.793
45.697  6.801
45.801  6.810
45.905  6.818
46.009  6.827
46.113  6.835
46.216  6.844
46.320  6.853
46.424  6.862
46.528  6.871
46.632  6.879
46.735  6.889
46.839  6.898
46.943  6.907
47.047  6.916
47.151  6.926
47.255  6.935
47.358  6.945
47.462  6.954
47.566  6.964
47.670  6.974
47.774  6.984
47.877  6.994
47.981  7.004
48.085  7.014
48.189  7.025
48.293  7.035
48.396  7.046
48.500  7.057
48.604  7.067
48.708  7.078
48.812  7.090
48.916  7.101
49.019  7.112
49.123  7.124
49.227  7.136
49.331  7.147
49.435  7.159
49.538  7.171
49.642  7.184
49.746  7.196
49.850  7.209
49.954  7.222
50.058  7.234
50.161  7.247
50.265  7.261
50.369  7.274
50.473  7.287
50.577  7.301
50.680  7.315
50.784  7.329
50.888  7.343
50.992  7.357
51.096  7.372
51.200  7.386
51.303  7.401
51.407  7.416
51.511  7.431
51.615  7.446
51.719  7.461
51.822  7.476
51.926  7.492
52.030  7.507
52.134  7.523
52.238  7.539
52.341  7.555
52.445  7.571
52.549  7.587
52.653  7.603
52.757  7.620
52.861  7.636
52.964  7.653
53.068  7.670
53.172  7.686
53.276  7.703
53.380  7.720
53.483  7.737
53.587  7.754
53.691  7.771
53.795  7.788
53.899  7.805
54.003  7.822
