# Distance(Å)  Score
9.433  6.962
9.548  6.930
9.664  6.898
9.779  6.867
9.894  6.836
10.009  6.806
10.124  6.777
10.239  6.747
10.355  6.719
10.470  6.691
10.585  6.663
10.700  6.636
10.815  6.609
10.930  6.583
11.046  6.558
11.161  6.533
11.276  6.508
11.391  6.484
11.506  6.460
11.621  6.437
11.737  6.415
11.852  6.392
11.967  6.371
12.082  6.349
12.197  6.328
12.312  6.308
12.428  6.288
12.543  6.269
12.658  6.250
12.773  6.231
12.888  6.213
13.004  6.195
13.119  6.178
13.234  6.161
13.349  6.144
13.464  6.128
13.579  6.113
13.695  6.097
13.810  6.082
13.925  6.068
14.040  6.054
14.155  6.040
14.270  6.027
14.386  6.014
14.501  6.001
14.616  5.989
14.731  5.977
14.846  5.965
14.961  5.954
15.077  5.943
15.192  5.932
15.307  5.922
15.422  5.912
15.537  5.902
15.652  5.893
15.768  5.884
15.883  5.875
15.998  5.867
16.113  5.858
16.228  5.850
16.343  5.843
16.459  5.835
16.574  5.828
16.689  5.821
16.804  5.814
16.919  5.808
17.034  5.801
17.150  5.795
17.265  5.789
17.380  5.783
17.495  5.778
17.610  5.773
17.726  5.767
17.841  5.762
17.956  5.758
18.071  5.753
18.186  5.748
18.301  5.744
18.417  5.740
18.532  5.736
18.647  5.732
18.762  5.728
18.877  5.724
18.992  5.720
19.108  5.717
19.223  5.713
19.338  5.710
19.453  5.707
19.568  5.703
19.683  5.700
19.799  5.697
19.914  5.694
20.029  5.691
20.144  5.688
20.259  5.686
20.374  5.683
20.490  5.680
20.605  5.677
20.720  5.675
20.835  5.672
20.950  5.670
21.065  5.667
21.181  5.665
21.296  5.663
21.411  5.660
21.526  5.658
21.641  5.656
21.756  5.654
21.872  5.652
21.987  5.650
22.102  5.647
22.217  5.646
22.332  5.644
22.448  5.642
22.563  5.640
22.678  5.638
22.793  5.636
22.908  5.635
23.023  5.633
23.139  5.631
23.254  5.630
23.369  5.628
23.484  5.627
23.599  5.626
23.714  5.624
23.830  5.623
23.945  5.622
24.060  5.621
24.175  5.620
24.290  5.619
24.405  5.618
24.521  5.618
24.636  5.617
24.751  5.616
24.866  5.616
24.981  5.615
25.096  5.615
25.212  5.615
25.327  5.615
25.442  5.614
25.557  5.614
25.672  5.614
25.787  5.615
25.903  5.615
26.018  5.615
26.133  5.615
26.248  5.616
26.363  5.616
26.478  5.617
26.594  5.618
26.709  5.618
26.824  5.619
26.939  5.620
27.054  5.621
27.170  5.622
27.285  5.623
27.400  5.624
27.515  5.625
27.630  5.627
27.745  5.628
27.861  5.629
27.976  5.631
28.091  5.632
28.206  5.634
28.321  5.635
28.436  5.637
28.552  5.638
28.667  5.640
28.782  5.642
28.897  5.643
29.012  5.645
29.127  5.647
29.243  5.649
29.358  5.650
29.473  5.652
29.588  5.654
29.703  5.656
29.818  5.658
29.934  5.660
30.049  5.661
30.164  5.663
30.279  5.665
30.394  5.667
30.509  5.669
30.625  5.671
30.740  5.673
30.855  5.675
30.970  5.676
31.085  5.678
31.200  5.680
31.316  5.682
31.431  5.684
31.546  5.686
31.661  5.688
31.776  5.689
31.892  5.691
32.007  5.693
32.122  5.695
32.237  5.697
32.352  5.698
32.467  5.700
32.583  5.702
32.698  5.704
32.813  5.706
32.928  5.707
33.043  5.709
33.158  5.711
33.274  5.713
33.389  5.715
33.504  5.717
33.619  5.719
33.734  5.721
33.849  5.723
33.965  5.725
34.080  5.727
34.195  5.729
34.310  5.731
34.425  5.734
34.540  5.736
34.656  5.739
34.771  5.741
34.886  5.744
35.001  5.747
35.116  5.749
35.231  5.752
35.347  5.755
35.462  5.759
35.577  5.762
35.692  5.765
35.807  5.769
35.922  5.773
36.038  5.777
36.153  5.781
36.268  5.785
36.383  5.789
36.498  5.794
36.614  5.799
36.729  5.804
36.844  5.809
36.959  5.814
37.074  5.820
37.189  5.826
37.305  5.832
37.420  5.838
37.535  5.844
37.650  5.851
37.765  5.858
37.880  5.865
37.996  5.873
38.111  5.880
38.226  5.888
38.341  5.896
38.456  5.905
38.571  5.913
38.687  5.922
38.802  5.931
38.917  5.941
39.032  5.951
39.147  5.960
39.262  5.971
39.378  5.981
39.493  5.992
39.608  6.003
39.723  6.014
39.838  6.025
39.953  6.037
40.069  6.049
40.184  6.061
40.299  6.073
40.414  6.085
40.529  6.098
40.644  6.111
40.760  6.124
40.875  6.137
40.990  6.151
41.105  6.164
41.220  6.178
41.336  6.192
41.451  6.205
41.566  6.219
41.681  6.234
41.796  6.248
41.911  6.262
42.027  6.276
42.142  6.291
42.257  6.305
42.372  6.320
42.487  6.334
42.602  6.348
42.718  6.363
42.833  6.377
42.948  6.391
43.063  6.405
43.178  6.419
43.293  6.433
43.409  6.447
43.524  6.461
43.639  6.475
43.754  6.488
43.869  6.501
43.984  6.514
44.100  6.527
44.215  6.540
44.330  6.553
44.445  6.565
44.560  6.577
44.675  6.589
44.791  6.601
44.906  6.612
45.021  6.623
45.136  6.634
45.251  6.645
45.366  6.656
45.482  6.666
45.597  6.676
45.712  6.686
45.827  6.696
45.942  6.705
46.058  6.714
46.173  6.723
46.288  6.732
46.403  6.741
46.518  6.749
46.633  6.758
46.749  6.766
46.864  6.774
46.979  6.782
47.094  6.790
47.209  6.798
47.324  6.806
47.440  6.813
47.555  6.821
47.670  6.829
47.785  6.836
47.900  6.844
48.015  6.851
48.131  6.859
48.246  6.866
48.361  6.874
48.476  6.881
48.591  6.889
48.706  6.896
48.822  6.904
48.937  6.912
49.052  6.919
49.167  6.927
49.282  6.935
49.397  6.943
49.513  6.951
49.628  6.959
49.743  6.967
49.858  6.976
49.973  6.984
50.088  6.992
50.204  7.001
50.319  7.009
50.434  7.018
50.549  7.027
50.664  7.035
50.780  7.044
50.895  7.053
51.010  7.062
51.125  7.071
51.240  7.079
51.355  7.088
51.471  7.097
51.586  7.106
51.701  7.115
51.816  7.124
51.931  7.133
52.046  7.142
52.162  7.150
52.277  7.159
52.392  7.168
52.507  7.176
52.622  7.185
52.737  7.193
52.853  7.201
52.968  7.209
53.083  7.217
53.198  7.225
53.313  7.233
53.428  7.241
53.544  7.248
53.659  7.256
53.774  7.263
53.889  7.270
54.004  7.277
54.119  7.284
54.235  7.291
54.350  7.298
54.465  7.304
54.580  7.310
54.695  7.317
54.810  7.323
54.926  7.329
55.041  7.335
55.156  7.341
55.271  7.347
55.386  7.353
55.502  7.359
55.617  7.364
55.732  7.370
55.847  7.376
55.962  7.382
56.077  7.388
56.193  7.393
56.308  7.399
56.423  7.405
56.538  7.411
56.653  7.417
56.768  7.423
56.884  7.430
56.999  7.436
57.114  7.443
57.229  7.449
57.344  7.456
57.459  7.463
57.575  7.471
57.690  7.478
57.805  7.486
57.920  7.494
58.035  7.502
58.150  7.510
58.266  7.519
58.381  7.528
58.496  7.537
58.611  7.546
58.726  7.556
58.841  7.566
58.957  7.576
59.072  7.587
59.187  7.597
59.302  7.608
59.417  7.620
59.532  7.632
59.648  7.644
59.763  7.656
59.878  7.668
59.993  7.681
60.108  7.695
60.224  7.708
60.339  7.722
60.454  7.736
60.569  7.750
60.684  7.765
60.799  7.780
60.915  7.795
61.030  7.810
61.145  7.826
61.260  7.842
61.375  7.858
61.490  7.875
61.606  7.892
61.721  7.909
61.836  7.926
61.951  7.943
62.066  7.961
62.181  7.979
62.297  7.997
62.412  8.015
62.527  8.034
62.642  8.052
62.757  8.071
62.872  8.090
62.988  8.109
63.103  8.128
63.218  8.148
63.333  8.168
63.448  8.187
63.563  8.207
63.679  8.227
63.794  8.247
63.909  8.268
64.024  8.288
64.139  8.309
64.254  8.329
64.370  8.350
64.485  8.371
64.600  8.392
64.715  8.413
64.830  8.435
64.946  8.456
65.061  8.478
65.176  8.499
65.291  8.521
65.406  8.543
65.521  8.566
65.637  8.588
65.752  8.611
65.867  8.633
65.982  8.656
66.097  8.680
66.212  8.703
66.328  8.726
66.443  8.750
66.558  8.774
66.673  8.799
66.788  8.823
66.903  8.848
