# Distance(Å)  Score
8.071  7.141
8.184  7.111
8.297  7.082
8.410  7.053
8.523  7.024
8.636  6.996
8.750  6.968
8.863  6.941
8.976  6.914
9.089  6.888
9.202  6.862
9.315  6.836
9.428  6.811
9.542  6.786
9.655  6.762
9.768  6.738
9.881  6.714
9.994  6.691
10.107  6.668
10.221  6.646
10.334  6.624
10.447  6.602
10.560  6.580
10.673  6.559
10.786  6.539
10.900  6.518
11.013  6.498
11.126  6.478
11.239  6.459
11.352  6.440
11.465  6.421
11.578  6.403
11.692  6.384
11.805  6.367
11.918  6.349
12.031  6.332
12.144  6.315
12.257  6.298
12.371  6.282
12.484  6.266
12.597  6.250
12.710  6.234
12.823  6.219
12.936  6.204
13.050  6.189
13.163  6.175
13.276  6.161
13.389  6.147
13.502  6.133
13.615  6.119
13.728  6.106
13.842  6.093
13.955  6.081
14.068  6.068
14.181  6.056
14.294  6.044
14.407  6.032
14.521  6.021
14.634  6.010
14.747  5.998
14.860  5.988
14.973  5.977
15.086  5.967
15.200  5.957
15.313  5.947
15.426  5.937
15.539  5.927
15.652  5.918
15.765  5.909
15.878  5.900
15.992  5.891
16.105  5.883
16.218  5.875
16.331  5.866
16.444  5.858
16.557  5.851
16.671  5.843
16.784  5.836
16.897  5.828
17.010  5.821
17.123  5.814
17.236  5.807
17.350  5.801
17.463  5.794
17.576  5.787
17.689  5.781
17.802  5.775
17.915  5.769
18.028  5.763
18.142  5.757
18.255  5.751
18.368  5.745
18.481  5.740
18.594  5.734
18.707  5.729
18.821  5.723
18.934  5.718
19.047  5.713
19.160  5.708
19.273  5.702
19.386  5.697
19.499  5.692
19.613  5.687
19.726  5.682
19.839  5.677
19.952  5.672
20.065  5.667
20.178  5.663
20.292  5.658
20.405  5.653
20.518  5.648
20.631  5.643
20.744  5.639
20.857  5.634
20.971  5.629
21.084  5.625
21.197  5.620
21.310  5.615
21.423  5.611
21.536  5.606
21.649  5.602
21.763  5.597
21.876  5.593
21.989  5.588
22.102  5.584
22.215  5.579
22.328  5.575
22.442  5.571
22.555  5.567
22.668  5.563
22.781  5.558
22.894  5.555
23.007  5.551
23.121  5.547
23.234  5.543
23.347  5.540
23.460  5.536
23.573  5.533
23.686  5.529
23.799  5.526
23.913  5.523
24.026  5.520
24.139  5.518
24.252  5.515
24.365  5.512
24.478  5.510
24.592  5.508
24.705  5.506
24.818  5.504
24.931  5.502
25.044  5.501
25.157  5.500
25.271  5.498
25.384  5.497
25.497  5.497
25.610  5.496
25.723  5.496
25.836  5.495
25.949  5.495
26.063  5.496
26.176  5.496
26.289  5.497
26.402  5.497
26.515  5.498
26.628  5.500
26.742  5.501
26.855  5.503
26.968  5.504
27.081  5.506
27.194  5.509
27.307  5.511
27.421  5.514
27.534  5.516
27.647  5.519
27.760  5.523
27.873  5.526
27.986  5.530
28.099  5.533
28.213  5.537
28.326  5.541
28.439  5.546
28.552  5.550
28.665  5.555
28.778  5.560
28.892  5.565
29.005  5.570
29.118  5.575
29.231  5.581
29.344  5.586
29.457  5.592
29.570  5.598
29.684  5.604
29.797  5.610
29.910  5.617
30.023  5.623
30.136  5.630
30.249  5.636
30.363  5.643
30.476  5.650
30.589  5.657
30.702  5.664
30.815  5.672
30.928  5.679
31.042  5.686
31.155  5.694
31.268  5.701
31.381  5.709
31.494  5.717
31.607  5.725
31.720  5.733
31.834  5.741
31.947  5.749
32.060  5.757
32.173  5.765
32.286  5.773
32.399  5.781
32.513  5.790
32.626  5.798
32.739  5.806
32.852  5.815
32.965  5.823
33.078  5.832
33.192  5.841
33.305  5.849
33.418  5.858
33.531  5.867
33.644  5.876
33.757  5.884
33.870  5.893
33.984  5.902
34.097  5.911
34.210  5.920
34.323  5.929
34.436  5.938
34.549  5.947
34.663  5.956
34.776  5.966
34.889  5.975
35.002  5.984
35.115  5.993
35.228  6.002
35.342  6.012
35.455  6.021
35.568  6.030
35.681  6.040
35.794  6.049
35.907  6.058
36.020  6.068
36.134  6.077
36.247  6.087
36.360  6.096
36.473  6.105
36.586  6.115
36.699  6.124
36.813  6.133
36.926  6.143
37.039  6.152
37.152  6.161
37.265  6.170
37.378  6.179
37.491  6.188
37.605  6.197
37.718  6.206
37.831  6.215
37.944  6.224
38.057  6.232
38.170  6.241
38.284  6.249
38.397  6.258
38.510  6.266
38.623  6.274
38.736  6.282
38.849  6.289
38.963  6.297
39.076  6.304
39.189  6.311
39.302  6.318
39.415  6.325
39.528  6.332
39.641  6.338
39.755  6.344
39.868  6.350
39.981  6.356
40.094  6.362
40.207  6.367
40.320  6.372
40.434  6.377
40.547  6.382
40.660  6.386
40.773  6.390
40.886  6.394
40.999  6.398
41.113  6.402
41.226  6.405
41.339  6.408
41.452  6.411
41.565  6.414
41.678  6.416
41.791  6.419
41.905  6.421
42.018  6.423
42.131  6.424
42.244  6.426
42.357  6.427
42.470  6.429
42.584  6.430
42.697  6.431
42.810  6.432
42.923  6.433
43.036  6.434
43.149  6.435
43.263  6.435
43.376  6.436
43.489  6.437
43.602  6.437
43.715  6.438
43.828  6.438
43.941  6.439
44.055  6.440
44.168  6.440
44.281  6.441
44.394  6.442
44.507  6.443
44.620  6.444
44.734  6.445
44.847  6.446
44.960  6.447
45.073  6.449
45.186  6.450
45.299  6.452
45.413  6.454
45.526  6.456
45.639  6.458
45.752  6.461
45.865  6.463
45.978  6.466
46.091  6.469
46.205  6.473
46.318  6.476
46.431  6.480
46.544  6.484
46.657  6.488
46.770  6.493
46.884  6.497
46.997  6.502
47.110  6.508
47.223  6.513
47.336  6.519
47.449  6.525
47.562  6.532
47.676  6.538
47.789  6.545
47.902  6.552
48.015  6.560
48.128  6.568
48.241  6.576
48.355  6.584
48.468  6.593
48.581  6.602
48.694  6.612
48.807  6.621
48.920  6.631
49.034  6.642
49.147  6.652
49.260  6.663
49.373  6.674
49.486  6.686
49.599  6.698
49.712  6.710
49.826  6.722
49.939  6.735
50.052  6.748
50.165  6.761
50.278  6.775
50.391  6.788
50.505  6.803
50.618  6.817
50.731  6.832
50.844  6.847
50.957  6.862
51.070  6.877
51.184  6.893
51.297  6.909
51.410  6.925
51.523  6.942
51.636  6.959
51.749  6.976
51.862  6.993
51.976  7.010
52.089  7.028
52.202  7.046
52.315  7.064
52.428  7.082
52.541  7.101
52.655  7.119
52.768  7.138
52.881  7.157
52.994  7.177
53.107  7.196
53.220  7.216
53.334  7.236
53.447  7.256
53.560  7.276
53.673  7.296
53.786  7.316
53.899  7.337
54.012  7.357
54.126  7.378
54.239  7.399
54.352  7.420
54.465  7.441
54.578  7.462
54.691  7.483
54.805  7.504
54.918  7.526
55.031  7.547
55.144  7.569
55.257  7.590
55.370  7.612
55.483  7.633
55.597  7.655
55.710  7.677
55.823  7.698
55.936  7.720
56.049  7.742
56.162  7.763
56.276  7.785
56.389  7.806
56.502  7.828
56.615  7.850
56.728  7.871
56.841  7.892
56.955  7.914
57.068  7.935
57.181  7.956
57.294  7.978
57.407  7.999
57.520  8.020
57.633  8.040
57.747  8.061
57.860  8.082
57.973  8.102
58.086  8.123
58.199  8.143
58.312  8.163
58.426  8.183
58.539  8.203
58.652  8.222
58.765  8.242
58.878  8.261
58.991  8.280
59.105  8.299
59.218  8.318
59.331  8.336
59.444  8.355
59.557  8.373
59.670  8.391
59.783  8.409
59.897  8.426
60.010  8.444
60.123  8.461
60.236  8.478
60.349  8.495
60.462  8.511
60.576  8.528
60.689  8.544
60.802  8.560
60.915  8.576
61.028  8.592
61.141  8.608
61.255  8.623
61.368  8.639
61.481  8.654
61.594  8.669
61.707  8.684
61.820  8.699
61.933  8.714
62.047  8.729
62.160  8.744
62.273  8.759
62.386  8.774
62.499  8.789
62.612  8.804
62.726  8.819
62.839  8.834
62.952  8.850
63.065  8.865
63.178  8.880
63.291  8.896
63.405  8.912
63.518  8.928
63.631  8.944
63.744  8.960
63.857  8.977
63.970  8.994
64.083  9.011
64.197  9.028
64.310  9.046
64.423  9.064
64.536  9.082
